temperature,city,pression,date
280.82,Paris,1011,2024-03-07 22:40
278.6,London,1015,2024-03-07 22:40
279.59,Washington,1021,2024-03-07 22:40
280.78,Paris,1012,2024-03-07 22:39
278.63,London,1015,2024-03-07 22:39
279.4,Washington,1021,2024-03-07 22:39
280.78,Paris,1012,2024-03-07 22:38
278.63,London,1015,2024-03-07 22:38
279.4,Washington,1021,2024-03-07 22:38
280.78,Paris,1012,2024-03-07 22:37
278.63,London,1015,2024-03-07 22:37
279.4,Washington,1021,2024-03-07 22:37
280.78,Paris,1012,2024-03-07 22:36
278.63,London,1015,2024-03-07 22:36
279.4,Washington,1021,2024-03-07 22:36
280.78,Paris,1012,2024-03-07 22:35
278.63,London,1015,2024-03-07 22:35
279.4,Washington,1021,2024-03-07 22:35
280.9,Paris,1012,2024-03-07 22:34
278.63,London,1015,2024-03-07 22:34
279.4,Washington,1021,2024-03-07 22:34
280.84,Paris,1012,2024-03-07 22:33
278.64,London,1015,2024-03-07 22:33
279.31,Washington,1021,2024-03-07 22:33
280.84,Paris,1012,2024-03-07 22:32
278.64,London,1015,2024-03-07 22:32
279.31,Washington,1021,2024-03-07 22:32
280.9,Paris,1012,2024-03-07 22:31
278.64,London,1015,2024-03-07 22:31
279.31,Washington,1021,2024-03-07 22:31
280.9,Paris,1012,2024-03-07 22:30
278.64,London,1015,2024-03-07 22:30
279.31,Washington,1021,2024-03-07 22:30
280.9,Paris,1012,2024-03-07 22:29
278.64,London,1015,2024-03-07 22:29
279.31,Washington,1021,2024-03-07 22:29
280.9,Paris,1012,2024-03-07 22:28
278.64,London,1015,2024-03-07 22:28
279.31,Washington,1021,2024-03-07 22:28
280.9,Paris,1012,2024-03-07 22:27
278.64,London,1015,2024-03-07 22:27
279.31,Washington,1021,2024-03-07 22:27
280.9,Paris,1012,2024-03-07 22:26
278.64,London,1015,2024-03-07 22:26
279.31,Washington,1021,2024-03-07 22:26
280.9,Paris,1012,2024-03-07 22:25
278.77,London,1015,2024-03-07 22:25
279.31,Washington,1021,2024-03-07 22:25
280.9,Paris,1012,2024-03-07 22:24
278.77,London,1015,2024-03-07 22:24
279.31,Washington,1021,2024-03-07 22:24
280.9,Paris,1012,2024-03-07 22:23
278.77,London,1015,2024-03-07 22:23
279.31,Washington,1021,2024-03-07 22:23
281.35,Paris,1011,2024-03-07 22:21
278.73,London,1015,2024-03-07 22:21
279.37,Washington,1021,2024-03-07 22:21
281.35,Paris,1011,2024-03-07 22:20
278.73,London,1015,2024-03-07 22:20
279.37,Washington,1021,2024-03-07 22:20
281.35,Paris,1011,2024-03-07 22:19
278.73,London,1015,2024-03-07 22:19
279.37,Washington,1021,2024-03-07 22:19
281.35,Paris,1011,2024-03-07 22:18
278.73,London,1015,2024-03-07 22:18
279.37,Washington,1021,2024-03-07 22:18
281.35,Paris,1011,2024-03-07 22:11
278.77,London,1015,2024-03-07 22:11
279.37,Washington,1021,2024-03-07 22:11
281.25,Paris,1011,2024-03-07 22:10
278.77,London,1015,2024-03-07 22:10
279.37,Washington,1021,2024-03-07 22:10
281.35,Paris,1011,2024-03-07 22:09
278.86,London,1015,2024-03-07 22:09
279.21,Washington,1021,2024-03-07 22:09
281.35,Paris,1011,2024-03-07 22:08
278.86,London,1015,2024-03-07 22:08
279.21,Washington,1021,2024-03-07 22:08
281.35,Paris,1011,2024-03-07 22:07
278.86,London,1015,2024-03-07 22:07
279.21,Washington,1021,2024-03-07 22:07
281.35,Paris,1011,2024-03-07 22:06
278.86,London,1015,2024-03-07 22:06
279.21,Washington,1021,2024-03-07 22:06
281.35,Paris,1011,2024-03-07 22:05
278.86,London,1015,2024-03-07 22:05
279.21,Washington,1021,2024-03-07 22:05
281.35,Paris,1011,2024-03-07 22:04
278.86,London,1015,2024-03-07 22:04
279.21,Washington,1021,2024-03-07 22:04
281.35,Paris,1011,2024-03-07 22:03
278.86,London,1015,2024-03-07 22:03
279.21,Washington,1021,2024-03-07 22:03
281.35,Paris,1011,2024-03-07 22:02
278.86,London,1015,2024-03-07 22:02
279.21,Washington,1021,2024-03-07 22:02
281.35,Paris,1011,2024-03-07 22:01
278.86,London,1015,2024-03-07 22:01
279.21,Washington,1021,2024-03-07 22:01
281.35,Paris,1011,2024-03-07 22:00
278.86,London,1015,2024-03-07 22:00
279.21,Washington,1021,2024-03-07 22:00
281.35,Paris,1011,2024-03-07 21:59
278.86,London,1015,2024-03-07 21:59
279.21,Washington,1021,2024-03-07 21:59
281.33,Paris,1011,2024-03-07 21:58
278.86,London,1015,2024-03-07 21:58
279.21,Washington,1021,2024-03-07 21:58
281.35,Paris,1011,2024-03-07 21:57
278.86,London,1015,2024-03-07 21:57
279.01,Washington,1021,2024-03-07 21:57
281.35,Paris,1011,2024-03-07 21:56
278.86,London,1015,2024-03-07 21:56
279.01,Washington,1021,2024-03-07 21:56
281.35,Paris,1011,2024-03-07 21:55
278.86,London,1015,2024-03-07 21:55
279.01,Washington,1021,2024-03-07 21:55
281.44,Paris,1012,2024-03-07 21:54
278.86,London,1015,2024-03-07 21:54
279.01,Washington,1021,2024-03-07 21:54
281.44,Paris,1012,2024-03-07 21:53
278.86,London,1015,2024-03-07 21:53
279.01,Washington,1021,2024-03-07 21:53
281.42,Paris,1011,2024-03-07 21:52
278.86,London,1015,2024-03-07 21:52
279.01,Washington,1021,2024-03-07 21:52
